id;band;date_time;description;image;name
1;VH;2018-04-08 08:35:49;sentinel A image clip_Sigma0_VH_db.tif INPE;http://www.dpi.inpe.br/obt/agricultural-database/lem/dados/cenas/Sentinel1/20180408_S1A/clip_20180408T083549_Sigma0_VH_db.tif;clip_20180408T083549_Sigma0_VH_db.tif
2;VV;2018-04-08 08:35:49;sentinel A image clip_Sigma0_VV_db.tif INPE;http://www.dpi.inpe.br/obt/agricultural-database/lem/dados/cenas/Sentinel1/20180408_S1A/clip_20180408T083549_Sigma0_VV_db.tif;clip_20180408T083549_Sigma0_VV_db.tif
3;VH;2017-11-27 08:35:51;sentinel A image clip_Sigma0_VH_db.tif INPE;http://www.dpi.inpe.br/obt/agricultural-database/lem/dados/cenas/Sentinel1/20171127_S1A/clip_20171127T083551_Sigma0_VH_db.tif;clip_20171127T083551_Sigma0_VH_db.tif
4;VH;2017-12-09 08:35:50;sentinel A image clip_Sigma0_VH_db.tif INPE;http://www.dpi.inpe.br/obt/agricultural-database/lem/dados/cenas/Sentinel1/20171209_S1A/clip_20171209T083550_Sigma0_VH_db.tif;clip_20171209T083550_Sigma0_VH_db.tif
5;VV;2017-11-03 08:35:51;sentinel A image clip_Sigma0_VV_db.tif INPE;http://www.dpi.inpe.br/obt/agricultural-database/lem/dados/cenas/Sentinel1/20171103_S1A/clip_20171103T083551_Sigma0_VV_db.tif;clip_20171103T083551_Sigma0_VV_db.tif
